,description,en,fr,pl,ru,es,it,ga,fil,de,tr,id,pt,jp,zh
SETTING_OFF,,Off,Off,Wył.,bыkл.,Desactivado,Off,ＯＦＦ,Off,Aus,Kapalı,Mati,Desligado,オフ,关
SETTING_MUFFLED,,Muffled,,,,,,,,,,,,,消音
VIDEO_MODE,"windowed, fullscreen, etc",Mode,Mode,Tryb,peжиm,Modo,Modalità video,ＭＯＤＥ,Mode,Fenstermodus,Pencere Modu,Mode,Modo,ウィンドウモード,模式
VIDEO_SIZE,"aspect ratio (4:3, widescreen)",Size,Taille,Wielkość,paзmep,Tamaño,Formato schermo,ＳＩＺＥ,Sukat ng Screen,Seitenverhältnis,En Boy Oranı,Ukuran,Proporção,かいぞうど,窗口大小
VIDEO_RENDER,,Rendering,Rendu,Renderowanie,pehдepиhг,Renderizardo,Rendering,ＲＥＮＤＥＲＩＮＧ,,,Görselleştİrme,Rendering,Renderização,レンダリング,渲染
VIDEO_SCALING,,Scaling,Mise à l'échelle,Powiększanie,Фильtpaция,Escalado,Ridimensionamento,ＳＣＡＬＩＮＧ,Pagka-render,Skalierung,Ölçeklendİrme,Scaling,Dimensionamento,スケーリング,缩放
VIDEO_VSYNC,,VSync,VSync,V-Sync,bept. cиhxpohизaция,VSync,VSync,ＶＳＹＮＣ,VSync,VSync,VSync,VSync,VSync,VSYNC,垂直同步
VIDEO_SHADOWS,,Drop Shadows,Ombres portées,Cienie,Пaдaющиe tehи,Sombras ,Ombre,ＤＲＯＰ ＳＨＡＤＯＷＳ,Drop Shadows,Schatten,Gölgeler,Bayangan,Sombras,ドロップシャドウ,阴影
VIDEO_HUD_SCALING,,HUD Spacing,Style du HUD,Styl HUD,ctиль Иhtepфeйca,Espaciado del HUD,Spaziatura della HUD,ＨＵＤ ＳＰＡＣＩＮＧ,Spacing ng HUD,HUD-Abstand,HUD Aralığı,Jarak HUD,Espaçamento do HUD,HUDかんかく,界面间距
VIDEO_MODE_WINDOWED,,Windowed,Fenêtré,Okno,okohhый,Ventana,Finestra,ＷＩＮＤＯＷＥＤ,Windowed,Fenster,Pencere,Windowed,Janela,ウィンドウ,窗口模式
VIDEO_MODE_FULLSCREEN,,Fullscreen,Plein Écran,Pełny Ekran,Пoлhoэkpahhый,Pantalla completa,Schermo intero,ＦＵＬＬＳＣＲＥＥＮ,Full Screen,Vollbild,Tam Ekran,Layar Penuh,Tela Cheia,フルスクリーン,全屏
VIDEO_MODE_BORDERLESS,,Borderless,Sans Bordure,Bez Obramowania,Бeз pamkи,Sin bordes,Senza bordi,ＢＯＲＤＥＲＬＥＳＳ,Borderless,Ohne Rand,Sınırsız,Tanpa Batas,Sem Borda,ボーダレス,无边框
VIDEO_ASPECT_OG,,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3
VIDEO_ASPECT_WIDE,,Widescreen,Panoramique,Szeroki Ekran,Шиpokoфopmathый,Pantalla panorámica,Schermo largo,ＷＩＤＥＳＣＲＥＥＮ,Widescreen,Breitbild,Genİş Ekran,Layar Lebar,Ecrã Panorâmico,ワイドスクリーン,宽屏
VIDEO_VISUALS_PIXEL,,Pixelated,Pixélisé,Pikselowane,Пиkceльhыe,Pixelado,Pixellata,ＰＩＸＥＬＡＴＥＤ,Pixelated,Klassisch,Pİksellİ,Berpiksel,Pixelado,ピクセルそう,像素
VIDEO_VISUALS_SMOOTH,,Smooth,Fondu,Gładkie,Глaдkиe,Liso,Liscia,ＳＭＯＯＴＨ,Malinis,Modern,Pürüzsüz,Halus,Suave,スムーズ,平滑
VIDEO_SCALING_FRACT,,Fractional,Fractionnaire,Ułamkowe,Дpoбhaя,Fraccional,Frazionario,ＦＲＡＣＴＩＯＮＡＬ,Praksyonal,Fraktal,Kesİrlİ,Fractional,Fracionado,ひせいすう,分数缩放
VIDEO_SCALING_INT,,Integer,Entier,Całkowite,Цeлaя,Entero,Intero,ＩＮＴＥＧＥＲ,Integer,Ganz,Tam Sayı,Integer,Inteiro,せいすう,整数缩放
VIDEO_HUD_STRETCHED,,Stretched,Étiré,Rozciągnięte,pactяhУtый,Estirado,Estesa,ＳＴＲＥＴＣＨＥＤ,Naka-stretch,Breit,Uzatılmış,Lebar,Esticado,ひきのばし,拉伸
VIDEO_HUD_CENTER,,Centered,Centré,Wyśrodkowane,Цehtpaльhый,Centrado,Centrata,ＣＥＮＴＥＲＥＤ,Ginta,Zentriert,Ortalanmış,Tengah,Centralizado,ちゅうおう,居中
AUDIO_MASTER,,Master,Général,Ogólne,oбщaя Гpomkoctь,Master,Principale,ＭＡＳＴＥＲ,General,Hauptlautstärke,Ana,Master,Mestre,マスター,主音量
AUDIO_MUSIC,,Music,Musique,Muzyka,mУзыka,Música,Musica,ＭＵＳＩＣ,Musika,Musik,Müzİk,Musik,Música,BGM,音乐
AUDIO_SFX,,SFX,Effets Sonores,Efekty Dźwiękowe,Эффektы,SFX,SFX,ＳＦＸ,SFX,Soundeffekte,Ses Efektlerİ,Efek Suara,Efeitos Sonoros,SFX,音效
AUDIO_EXTRA_BGM,"Setting to enable or disable extra music tracks in game (bonus theme, athletic theme, bowser theme)",Extra BGM,Musiques En Plus,Muzyka Atletyczna,Эkctpa BGM,Música de fondo adicional,BGM extra,ＥＸＴＲＡ ＢＧＭ,Extrang Musika,Extramusik,Ekstra Müzİk,BGM Ekstra,BGM Extra,ついかBGM,额外背景音乐
AUDIO_EXTRA_SFX,Adds in some other optional sfxs from SMBDX and the modern games,Extra SFX,Effets Sonores En Plus,Dodatkowe Efekty Dźwiękowe,Эkctpa SFX,Efectos de sonido adicionales,SFX extra,ＥＸＴＲＡ ＳＦＸ,Extrang SFX,Extra-Soundeffekte,Ekstra Ses Efektlerİ,SFX Ekstra,SFX Extra,ついかSFX,额外音效
AUDIO_PAUSE_BGM,,Pause Menu BGM,,,,,,,,,,,,,暂停界面音乐
AUDIO_MENU_BGM,You win.,Menu BGM,Musique Menu,Muzyka Menu,BGM mehю,Música de fondo del menú,BGM del menu,ＭＥＮＵ ＢＧＭ,Musika sa Menu,Menümusik,Menü Müzİk,Menu BGM,BGM do Menu,メニューBGM,菜单音乐
AUDIO_SKID_SFX,Enables the skidding sfx from Lost Levels,Skid SFX,Bruit Dérapage,Dźwięki Hamowania,ЗbУk ckoльжehия,Effectos de derrape,Skid SFX,ＳＫＩＤ ＳＦＸ,SFX ng skid,Rutsch-Soundeffekt,Kayma Ses Efektİ,Efek Suara Selip,SFX de Derrapagem,スキールおん,刹车音效
VISUALS_PARALLAX,Sets the amount of parallax used in BG's,Parallax,Parallaxe,Paralaks,Пapaллakc,Paralaje,Effetto parallasse,ＰＡＲＡＬＬＡＸ,Naka-parallax,Parallaxeneffekt,Paralaks,Paralaks,Parallax,ラスター,视差滚动
VISUALS_EXTRA_BGs,"Terrible name, but basically enables whether the new bg's are shown (underground + castle)",Extra BGs,Décors Modernes,Dodatkowe Tła,Эkctpa Фohы,BG adicionales,Sfondi extra,ＥＸＴＲＡ ＢＧＳ,Extra BGs,Extra-Hintergründe,Ekstra Arka Planlar,BG Ekstra,BGs Extras,ついかのはいけい,额外背景
VISUAL_PARTICLES,,BG Particles,Particules Décors,Cząsteczki w Tle,Чactицы Фoha,Partículas de fondo,Particelle sfondi,ＢＧ ＰＡＲＴＩＣＬＥＳ,Particles ng BG,Hintergrundpartikel,Arka Plan Partİküllerİ,Partikel BG,Partículas de BG,はいけいのパーティクル,背景粒子
VISUAL_HUD_STYLE,"Changes between the classic hud, or the modern hud from SMM2",HUD Style,Style du HUD,Styl HUD,ctиль Иhtepфeйca,Estilo del HUD,Stile HUD,ＨＵＤ ＳＴＹＬＥ,Style ng HUD,HUD-Stil,HUD Stİlİ,Gaya HUD,Estilo de HUD,HUDスタイル,界面风格
VISUAL_PALETTE,,Palette,Palette,Paleta,Пaлиtpa,Paleta,Palette,ＰＡＬＥＴＴＥ,Paleta,Farbpalette,Palet,Palet,Paleta,パレット,调色板
VISUAL_RAINBOW,"Which effect should be used for invincibility (Shader based, Palette Based)",Rainbow Effect,Effet Arc-En-Ciel,Efekt Tenczy,Эффekt paдУги,Efecto Arcoiris,Effetto arcobaleno,ＲＡＩＮＢＯＷ ＥＦＦＥＣＴ,Effect ng Rainbow,Regenbogeneffekt,Gökküşağı Efektİ,Efek Pelangi,Efeito Arco-Íris,むてきマリオパレット,彩虹效果
VISUAL_COLOURFUL_PIPES,"Enables multi-coloured pipes (green by default, if turned off)",Colorful Pipes,Tuyaux de couleurs,Kolorowe Rury,paзhoцbethыe tpУбы,Tubos de colores,Tubi colorati,ＣＯＬＯＲＦＵＬ ＰＩＰＥＳ,Makulay na Tubo,Gefärbte Röhren,Renklİ Borular,Pipa Warna-Warni,Canos Coloridos,いろとりどりの　どかん,彩色管道
VISUAL_TRANSFORM,"Should the transformation effect on the player, be rainbow, or a simple animation swap?",Transform Style,Style Transfo.,Styl Transformacji,ctиль tpahcфopmaции,Estilo de transformación,Stile trasformazione,ＴＲＡＮＳＦＯＲＭ ＳＴＹＬＥ,Style ng Pagtransform,Power-Up-Animationsstil,Dönüşüm Stİlİ,Transformasi Gaya,Estilo de Transformação,へんしんスタイル,变形风格
VISUAL_TEXT_SHADOWS,,Text Shadows,Ombre Textes,Cieniowany Tekstu,tehь tekcta,Sombras en textos,Ombre testo,ＴＥＸＴ ＳＨＡＤＯＷＳ,Anino ng Text,Textschatten,Yazı Gölgelerİ,Bayangan Teks,Sombreamento de Texto,テキストのかげ,文字阴影
VISUAL_TRANSITION_EFFECT,Do we want transitions to be instant? or smooth?,Transition Style,Style de transition,Styl Tranzycji,ctиль пepexoдob,Estilo de transición,Stile transizione,ＴＲＡＮＳＩＴＩＯＮ ＳＴＹＬＥ,Style ng Transition,Übergangsstil,Geçİş Stİlİ,Gaya Transisi,Estilo de Transição,フェード・スタイル,切换效果
VISUAL_SMBS_SCROLL,Special Scrolling,Special Scrolling,Special Scrolling,Special Scrolling,Special Scrolling,Special Scrolling,Special Scrolling,Special Scrolling,Special Scrolling,Special Scrolling,Special Scrolling,Special Scrolling,Special Scrolling,Special Scrolling,特别版滚动
VISUAL_SMBS_SCROLL_OFF,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,关闭
VISUAL_SMBS_SCROLL_X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1,Sharp X1
VISUAL_SMBS_SCROLL_PC8801,PC-8801,PC-8801,PC-8801,PC-8801,PC-8801,PC-8801,PC-8801,PC-8801,PC-8801,PC-8801,PC-8801,PC-8801,PC-8801,PC-8801,PC-8801
VISUAL_PARALLAX_NONE,,None,Aucun,Brak,het,Ninguno,No,ＮＯＮＥ,Wala,Kein,Hİç,None,Nenhum,オフ,无
VISUAL_PARALLAX_BASIC,,Basic,Basique,Podstawowe,ochobhoй,Básico,Basico,ＢＡＳＩＣ,Basic,Standard,Basİt,Dasar,Básico,ひょうじゅん,基本
VISUAL_PARALLAX_DETAIL,,Detailed,Détaillé,Detalowane,Дetaлизиpobahhый,Detallado,Dettagliato,ＤＥＴＡＩＬＥＤ,Detalyado,Detailliert,Detaylı,Detailed,Detalhado,しょうさい,详细
VISUAL_VISIBLE_TIMERS,Adds timers to the hud to reflect various states,Visible Timers,Timeur Visible,Widoczny Stoper,bидиmыe taйmepы,Temporizador visible,Timer visibili,ＶＩＳＩＢＬＥ ＴＩＭＥＲＳ,Timer,Timeranzeige,Görünür Zamanlayıcılar,Pengatur Waktu Terlihat,Timers Visíveis,ひょうじタイマー,可见计时器
VISUAL_BRIDGE_ANIMATION,Animation used for bowsers bridge destruction,Bridge Animation,Destruction du pont,Niszczenie Mostu,paзpУшehиe mocta,Destrucción del puente,Distruzione ponte,ＢＲＩＤＧＥ ＡＮＩＭＡＴＩＯＮ,Distraksyon ng Bridge,Brückenanimation,Köprü Anİmasyonu,Animasi Jembatan,Animação de Ponte,はしのアニメーション,桥梁动画
,,,,,,,,,,,,,,,
VISUAL_TRANSITION_CLASSIC,,Classic,Classique,Klasyczna,kлaccичeckaя,Clásico,Classico,ＣＬＡＳＳＩＣ,Klasik,Klassisch,Klasİk,Klasik,Clássico,クラシック,经典
VISUAL_TRANSITION_SMOOTH,,Smooth,Lisse,Gładka,Плabhaя,Suave,dissolvenza,ＳＭＯＯＴＨ,Fade in,Flüssig,Modern,Mulus,Suave,スムーズ,平滑
VISUAL_PALETTE_MAKER,"Dont bother translating these ones lol, just here for consistency, its just emulator names",Maker :D,Hello :D,sup yall :o,I exist! :D,Play de Blob 2,smsl coming next year,ＭＡＫＥＲ :Ｄ,,Maker,İ love hamburgers,Nintendo L for you if you sue joe,Me when Nintendo sues SMB1R: Boowomp,"Nintendo-san, pls don't sue",制作者：D
VISUAL_PALETTE_MESEN,"These are unused now, feel free to write whatever in these lmao",Mesen,,hi cube,Translating is-a mУ passion!,,maybe,ＭＥＳＥＮ,,MESEN,"Sen vİlayet yıkmayı padİşahlık mı zannettİn? Mertsen meydana gel. Namert gİbİ delİkten delİğe gİrme. Hazırlıklarını yap, haber verİlmedİ deme.",Translation is my job :D,Wowie Zowie Kablowie,Peace is paved,Mesen
VISUAL_PALETTE_FCEUX,Hows your day been?,FCEUX,,:wave:,EspeciallУ when it comes to Pizza Tower mods.,,who knows ;),ＦＣＥＵＸ,,FCEUX,Chocolate Syrup,Good how about you :),The,been busy lately lol,FCEUX
SETTINGS_CLASSIC,"Used all over the settings, to describe if something is as the same as in modern games, or the origina / classic games",Classic,Classique,Klasyczne,kлaccиka,Clásico,Classico,ＣＬＡＳＳＩＣ,Klasik,Klassisch,Klasİk,Klasik,Clássico,クラシック,经典
SETTINGS_MODERN,,Modern,Moderne,Współczesne,moдeph,Moderno,Moderno,ＭＯＤＥＲＮ,Moderno,Modern,Modern,Modem,Moderno,モダン,现代
DIFFI_DAMAGE_STYLE,"basically what happens when player gets hurt with fire flower, do they go back to big? or back to small?",Damage Style,Type de dégats,Styl Obrażeń,ctиль Уpoha,Estilo de daños,Stile danno,ＤＡＭＡＧＥ ＳＴＹＬＥ,Style ng Damage,Schadenstyp,Hasar Stİlİ,Gaya Damage,Estilo de Dano,あたりスタイル,受伤方式
DIFFI_CHECKPOINT,Flag pole checkpoints? or no flagpoles?,Checkpoint Style,Type de Checkpoint,Styl Checkpointu,ctиль Чekпoиhtob,Estilo de Checkpoints,Stile checkpoint,ＣＨＥＣＫＰＯＩＮＴ ＳＴＹＬＥ,Checkpoints,Checkpoints,Kontrol Noktası Stİlİ,Gaya Pos Pemeriksaan,Estilo de Checkpoint,チェックポイント・スタイル,检查点方式
DIFFI_EXTRA_CHECK,Checkpoints in levels that didnt have them,Extra Checkpoints,Extra Checkpoints,Dodatkowe Checkpointy,Эkctpa Чekпoиhtы,Puntos de control adicionales,Checkpoint extra,ＥＸＴＲＡ ＣＨＥＣＫＰＯＩＮＴＳ,Extra Checkpoints,Extra-Checkpoints,Ekstra Kontrol Noktaları,Ekstra Pos Pemeriksaan,Checkpoints Extras,ついかのチェックポイント,额外检查点
DIFFI_INF_LIVES,,Inf Lives,Vies Infinies,Nieskończone Życia,Бeckoheчhыe Жизhи,Vidas infinitas,Vite infinite,ＩＮＦ ＬＩＶＥＳ,Panghabangbuhay,Unendliche Leben,Sonsuz Hayat,Kehidupan Tidak Terbatas,Vidas Infinitas,むげんの　ざんき,无限生命
DIFFI_FLAG_LIVES,"Does hitting the top of the flagpole, give an extra life",Flagpole Lives,Vies du Drapeau,Życia Flagi,Жизhи Флaгшtoka,Vidas de asta de bandera,Vite dalla bandiera,ＦＬＡＧＰＯＬＥ ＬＩＶＥＳ,Life points sa Flagpole,Zielpfahl-Extraleben,Bayrak Hayatları,Nyawa Bendera,Vidas de Bandeira,ゴールポールの　ざんき,旗杆奖励生命
DIFFI_GAME_OVER,What happens when hitting a game over? back to start of world? level? game?,Game Over,Game Over,Koniec Gry,Игpa okohчeha,Fin del juego,Game over,ＧＡＭＥ ＯＶＥＲ,Game over,Game Over,Oyun Bİttİ,Game Over,Game Over,ゲームオーバー,游戏结束
DIFFI_LEVEL_DESIGN,Adjusts level design to actually be fair,Level Design,Conception des niveaux,Zarys Poziomu,Дизaйh Уpobhя,Diseño de niveles,Design dei livelli,ＬＥＶＥＬ ＤＥＳＩＧＮ,Design ng Lebel,Leveldesign,Level Tasarımı,Desain Level,Design de Nível,ステージデザイン,关卡设计
DIFFI_TIME,Enables the time limit,Time Limit,Limite de temps,Limit Czasu,Лиmиt bpemehи,Tiempo Limite,Limite di tempo,ＴＩＭＥ ＬＩＭＩＴ,Limit ng Oras,Zeitlimit,Zaman Lİmİtİ,Batas waktu,Tempo Limite,せいげん　じかん,时间限制
DIFFI_LAKITU,,Lakitu Style,Style de Lakitu,Styl Lakitu,ctиль ЛakиtУ,Estilo Lakitu,Stile lakitu,ＬＡＫＩＴＵ ＳＴＹＬＥ,Style ng Lakitu,Lakitu-Modus,Lakİtu Stİlİ,Gaya Lakitu,Estilo de Lakitu,ジュゲム・スタイル,球盖姆行为
DIFFI_BACKSCROLL,"Allows you to move backwards in all levels, unless a custom level says no",Back Scroll,Retour Arrière,Przewijanie Wsteczne,ПpokpУtka haзaд,Scroll hacia atras,Back Scroll,ＢＡＣＫ ＳＣＲＯＬＬ,Free Camera,Freie Kamera,Gerİ Kaydırma,Scroll Kembali,Rolagem Para Trás,スクロールかいじょ,回滚
DIFFI_GAME_OVER_LVL,,Start of Level,Début du niveau,Początek Poziomu,haчatь c Уpobhя,Inicio del nivel,Inizio del livello,ＳＴＡＲＴ ＯＦ ＬＥＶＥＬ,Start ng Lebel,Levelanfang,Level Başlangıçı,Awal Level,Começo do Nível,ステージから　かいし,返回关卡开头
DIFFI_GAME_OVER_WLD,,Start of World,Début du monde,Początek Świata,haчatь c mиpa,Inicio del mundo,Inizio del mondo,ＳＴＡＲＴ ＯＦ ＷＯＲＬＤ,Start ng Mundo,Weltanfang,Dünya Başlangıçı,Awal Dunia,Começo do Mundo,ワールドから　かいし,返回世界开头
DIFFI_GAME_OVER_GME,,Start of Game,Début du jeu,Początek Gry,haчatь c Игpы,Inicio del juego,Inizio del gioco,ＳＴＡＲＴ ＯＦ ＧＡＭＥ,Start ng Laro,Spielanfang,Oyun Başlangıçı,Awal Permainan,Começo do Jogo,ゲームから　かいし,返回标题画面
DIFFI_CHECK_NO_FLAG,,No Flag,Aucun drapeaux,Brak Flagi,het Флaгa,Sin Bandera,Senza bandiera,ＮＯ ＦＬＡＧ,Walang Flag,Flaggen aus,Bayraksız,Tanpa Bendera,Sem Bandeira,フラッグなし,无旗帜
DIFFI_CHECK_FLAG,,Flag,Drapeaux,Flaga,Флaг,Bandera,Bandiera,ＦＬＡＧ,Flag,Flaggen an,Bayrak,Bendera,Bandeira,フラッグ,有旗帜
DIFFI_CHECK_FLAG+,"Checkpoint flag, which gives a powerup when crossed, like in New Super",Flag+,Drapeaux+,Flaga+,Флaг+,Bandera+,Bandiera+,ＦＬＡＧ+,Flag+,Flaggen+,Bayrak+,Bendera+,Bandeira+,フラッグ+,旗帜强化
DIFFI_LAKITU_0,,Original,Original,Oryginalny,opигиhaл,Original,Originale,ＯＲＩＧＩＮＡＬ,Klasik,Klassisch,Orİjİnal,Original,Original,オリジナル,原版
DIFFI_LAKITU_1,,Fixed,Corrigé,Naprawiony,hobый,Corregido,Corretto,ＦＩＸＥＤ,Moderno,Modern,Modern,Fixed,Consertado,なおされた,修复
DESC_DMG_STYLE_0,,"When taking damage, revert to ""Small"" state.","Après une blessure, retour à l'état ""Petit"", peu importe l'état actuel.","Przy dostaniu obrażeń, wróć do stanu ""Małego"".","Пpи пoлУчehии Уpoha, boзbpaщehиe b coctoяhиe «maлehьkий».","Al recibir daño, vuelve al estado ""Pequeño"".","In caso di danno, il personaggio torna allo stato ""piccolo"".","ＷＨＥＮ ＴＡＫＩＮＧ ＤＡＭＡＧＥ, ＲＥＶＥＲＴ ＴＯ ""ＳＭＡＬＬ"" ＳＴＡＴＥ.","Pagnasaktan, babalik sa ""Small"" state.","Verwandlung zum ""kleinen"" Status bei Schaden.","Hasar alındığında ""Küçük"" durumuna gerİ dön.","Saat terkena damage, kembali ke status ""Kecil"".","Quando receber dano, reverter para estado ""Pequeno"".",あたると、ちびキャラクターにもどる,受伤时变回「小」状态。
DESC_DMG_STYLE_1,,"When taking damage, revert to ""Big"" state, if ""Fire"".","Après une blessure, retour à l'état ""Grand"", si l'état actuelle est ""Feu"".","Przy dostaniu obrażeń, wróć do stanu ""Dużego"", jeżeli jesteś w stanie ""Ognistym"".","Пpи пoлУчehии Уpoha, boзbpaщehиe b coctoяhиe «Бoльшoй», ecли «oгhehhый».","Al recibir daño, vuelve al estado ""Grande"", si estas en el estado de ""Fuego"".","In caso di danno, il personaggio torna allo stato ""grande"" se si ha il potere del fuoco.","ＷＨＥＮ ＴＡＫＩＮＧ ＤＡＭＡＧＥ, ＲＥＶＥＲＴ ＴＯ ""ＢＩＧ"" ＳＴＡＴＥ, ＩＦ ""ＦＩＲＥ.","Pagnasaktan, babalik sa ""previous state"" kung nasa ""Fire"" state.","Wenn ""Feuer"", Verwandlung zum ""grossen"" Status bei Schaden.","Hasar alındığında ""Ateş"" durumunda İse ""Büyük"" durumuna gerİ dön.","""Saat terkena damage, kembali ke status """"Besar"""", jika """"Api.""","Quando receber dano, reverter para estado ""Grande"" se estiver estado ""Fogo"".",あたると、ファイアキャラクターからスーパーキャラクターにもどる,受伤时，若为「火焰」状态则变回「大」状态。
DESC_FLAG_0,,"No flags, simply pass a certain point within a level, classic experience.","Aucun drapeau relais, il suffit de passer un certain point dans les niveaux, expérience classique.","Bez flag, po prostu przejdź przez pewien punkt poziomu, klasyczny styl gry.","hиkakиx флaгob, пpocto пpoйдиte oпpeдeлehhУю toчkУ ha Уpobhe, kлaccичeckий oпыt.","No hay banderas, basta con pasar un determinado punto dentro de un nivel, experiencia clásica.","Non ci sarà alcuna bandiera checkpoint, basta superare un certo punto del livello per attivare il checkpoint, l'esperienza classica.","ＮＯ ＦＬＡＧＳ, ＳＩＭＰＬＹ ＰＡＳＳ Ａ ＣＥＲＴＡＩＮ ＰＯＩＮＴ ＷＩＴＨＩＮ Ａ ＬＥＶＥＬ, ＣＬＡＳＳＩＣ ＥＸＰＥＲＩＥＮＣＥ.","Walang checkpoint, klasik na experience","Keine Checkpoints, wie bei den Originalspielen.",Kontrol bayrağı yok. Leveldekİ belİrlİ bİr noktayı geçİnce. Klasİk.,"Tanpa bendera, cukup lewati titik tertentu dalam satu level, pengalaman klasik.","Sem Bandeiras, simplismente passe por um ponto específico em um nível, experiência classica.",チェックポイントのエリアをつうかすると、じどうてきにアクティブになる。,无旗帜，只需通过关卡中特定点位即可，经典体验。
DESC_FLAG_1,,"Checkpoint flags are present within levels, modern experience","Des drapeaux relais sont présents dans les niveaux, expérience moderne.","Checkpointy są w poziomach, współczesny styl gry.","Флaги чekпoиhtob пpиcУtctbУюt ha Уpobhяx, cobpemehhый oпыt","Hay banderas de punto de control en los niveles, experiencia moderna","Le bandiere checkpoint saranno presenti nel livello, l'esperienza moderna.","ＣＨＥＣＫＰＯＩＮＴ ＦＬＡＧＳ ＡＲＥ ＰＲＥＳＥＮＴ ＷＩＴＨＩＮ ＬＥＶＥＬＳ, ＭＯＤＥＲＮ ＥＸＰＥＲＩＥＮＣＥ","May checkpoint sa bawat levels, modernong experience","Checkpoints sind in Leveln vorhanden, wie bei modernen Spielen.",Kontrol noktası bayrakları levelİn İçİnde. Modern.,"Bendera pos pemeriksaan hadir dalam level, pengalaman modern","Bandeiras de Checkpoint estão presente nos níveis, experiência moderna.",フラッグがひょうじされる。,关卡中设有检查点旗帜，现代体验。
